id,title,content
1,Artificial Intelligence,Artificial Intelligence refers to machines that can perform tasks requiring human intelligence such as learning reasoning and decision making.
2,Human Brain,The human brain controls thoughts memory emotions and bodily functions and is the most complex organ in the human body.
3,Climate Change,Climate change refers to long term changes in temperature and weather patterns primarily caused by human activities.
4,Solar System,The solar system consists of the Sun and all celestial bodies that orbit it including planets moons asteroids and comets.
5,Earth,Earth is the third planet from the Sun and the only known planet to support life.
6,Water Cycle,The water cycle describes how water evaporates condenses and returns to Earth through precipitation.
7,Photosynthesis,Photosynthesis is the process by which green plants use sunlight to produce food from carbon dioxide and water.
8,Human Heart,The human heart is a muscular organ responsible for pumping blood throughout the body.
9,Nutrition,Nutrition is the study of food and how nutrients affect health growth and metabolism.
10,Exercise,Regular physical exercise improves strength endurance mental health and overall well being.
11,Mental Health,Mental health includes emotional psychological and social well being affecting how people think feel and act.
12,Economics,Economics is the study of how individuals and societies allocate limited resources.
13,Inflation,Inflation is the gradual increase in prices and decrease in purchasing power of money.
14,Supply and Demand,Supply and demand describe how prices are determined in a market economy.
15,Democracy,Democracy is a system of government where citizens have the power to vote and make decisions.
16,Indian Constitution,The Indian Constitution is the supreme law of India defining political principles and citizens rights.
17,World War Two,World War Two was a global conflict from 1939 to 1945 involving most of the world’s nations.
18,Industrial Revolution,The Industrial Revolution marked the transition to machine based manufacturing and urbanization.
19,Education,Education is the process of acquiring knowledge skills values and habits through learning.
20,Artificial Intelligence in Healthcare,AI in healthcare is used for diagnosis treatment planning and medical research.
21,Internet,The internet is a global network that enables communication information sharing and digital services.
22,Social Media,Social media platforms allow users to create share and interact with content online.
23,Cyber Security,Cyber security focuses on protecting systems networks and data from digital threats.
24,Programming,Programming is the process of writing instructions that computers execute to perform tasks.
25,Machine Learning,Machine learning allows systems to learn from data and improve performance automatically.
26,Mathematics,Mathematics is the study of numbers quantities shapes and patterns.
27,Algebra,Algebra is a branch of mathematics dealing with symbols and equations.
28,Trigonometry,Trigonometry studies relationships between angles and sides of triangles.
29,Probability,Probability measures the likelihood of an event occurring.
30,Statistics,Statistics involves collecting analyzing and interpreting data.
31,Physics,Physics studies matter energy motion and forces of nature.
32,Chemistry,Chemistry explores the composition structure and reactions of substances.
33,Biology,Biology is the study of living organisms and life processes.
34,Evolution,Evolution explains how species change over time through natural selection.
35,Geography,Geography studies Earth’s landscapes environments and human populations.
36,Mount Everest,Mount Everest is the highest mountain on Earth above sea level.
37,Oceans,Oceans cover most of Earth’s surface and regulate climate and weather.
38,Agriculture,Agriculture involves cultivating plants and raising animals for food.
39,Food Security,Food security ensures that people have access to sufficient nutritious food.
40,Renewable Energy,Renewable energy comes from natural sources like sunlight wind and water.
41,Solar Energy,Solar energy is generated by converting sunlight into electricity.
42,Wind Energy,Wind energy uses air movement to generate power.
43,Space Exploration,Space exploration involves discovering outer space using satellites and spacecraft.
44,Satellites,Satellites orbit Earth to support communication navigation and research.
45,Time Management,Time management is the ability to plan and control how time is spent.
46,Productivity,Productivity measures how efficiently tasks or goals are accomplished.
47,Communication,Communication is the exchange of information ideas and emotions.
48,Languages,Languages are systems of communication using spoken written or signed symbols.
49,Culture,Culture includes beliefs customs arts and traditions of a society.
50,Religion,Religion involves belief systems practices and values related to spirituality.
51,Ethics,Ethics studies moral principles that govern behavior.
52,Law,Law is a system of rules enforced to regulate society.
53,Human Rights,Human rights are basic freedoms and protections entitled to every person.
54,Globalization,Globalization refers to the interconnectedness of economies cultures and populations.
55,Artificial Intelligence Ethics,AI ethics deals with fairness accountability and responsible use of AI systems.
56,Future of Technology,The future of technology focuses on innovation automation and digital transformation.
